Mouse,Birth Date,Coat Colour,Earclip,Gender,Colony Prefix,Colony Name,Genetic Background,Cohort(s),Genotype,Weighing Date,Weight,Units,QC Status,QC Comments,Recorded By,Recorded On
AHDT7.1c,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/Btnl1-B12 Min:+ve,10-Mar-17,27.7,g,0,,WilliaJ,10-Mar-17
AHDT7.1d,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,10-Mar-17,27.6,g,0,,WilliaJ,10-Mar-17
AHDT7.1e,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,10-Mar-17,26.2,g,0,,WilliaJ,10-Mar-17
AHDT7.1f,30-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,10-Mar-17,28.7,g,0,,WilliaJ,10-Mar-17
AHDT7.1g,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,10-Mar-17,27,g,0,,WilliaJ,10-Mar-17
AHDT7.1h,30-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,10-Mar-17,26.2,g,0,,WilliaJ,10-Mar-17
AHDT7.1i,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,10-Mar-17,26.9,g,0,,WilliaJ,10-Mar-17
AHDT7.1j,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,10-Mar-17,26.3,g,0,,WilliaJ,10-Mar-17
AHDT7.1k,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,10-Mar-17,29.4,g,0,,WilliaJ,10-Mar-17
AHDT7.1l,30-Nov-16,Black,2R 1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,10-Mar-17,20.6,g,0,,WilliaJ,10-Mar-17
AHDT7.1m,30-Nov-16,Black,1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,10-Mar-17,20.1,g,0,,WilliaJ,10-Mar-17
AHDT7.1n,30-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,10-Mar-17,22,g,0,,WilliaJ,10-Mar-17
AHDT7.1o,30-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,10-Mar-17,19.5,g,0,,WilliaJ,10-Mar-17
AHDT5.1a,22-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,13-Mar-17,28.6,g,0,,WilliaJ,13-Mar-17
AHDT5.1b,22-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,13-Mar-17,23,g,0,,WilliaJ,13-Mar-17
AHDT5.1c,22-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,13-Mar-17,24.7,g,0,,WilliaJ,13-Mar-17
AHDT5.1d,22-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,13-Mar-17,27.5,g,0,,WilliaJ,13-Mar-17
AHDT5.1f,22-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,13-Mar-17,28.1,g,0,,WilliaJ,13-Mar-17
AHDT5.1h,22-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,13-Mar-17,23.7,g,0,,WilliaJ,13-Mar-17
AHDT5.1i,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/+ Min:-ve,13-Mar-17,22.9,g,0,,WilliaJ,13-Mar-17
AHDT5.1m,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,13-Mar-17,21.9,g,0,,WilliaJ,13-Mar-17
AHDT5.1n,22-Nov-16,Black,2R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,13-Mar-17,21.1,g,0,,WilliaJ,13-Mar-17
AHDT7.1a,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,13-Mar-17,26.7,g,0,,WilliaJ,13-Mar-17
AHDT7.1b,30-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,27,g,0,,WilliaJ,13-Mar-17
AHDT7.1c,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/Btnl1-B12 Min:+ve,13-Mar-17,27.4,g,0,,WilliaJ,13-Mar-17
AHDT7.1d,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,27.6,g,0,,WilliaJ,13-Mar-17
AHDT7.1e,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,26.6,g,0,,WilliaJ,13-Mar-17
AHDT7.1f,30-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,28.3,g,0,,WilliaJ,13-Mar-17
AHDT7.1g,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,13-Mar-17,27,g,0,,WilliaJ,13-Mar-17
AHDT7.1h,30-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,13-Mar-17,26.8,g,0,,WilliaJ,13-Mar-17
AHDT7.1i,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,27.3,g,0,,WilliaJ,13-Mar-17
AHDT7.1j,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,26.5,g,0,,WilliaJ,13-Mar-17
AHDT7.1k,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,30.2,g,0,,WilliaJ,13-Mar-17
AHDT7.1m,30-Nov-16,Black,1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,13-Mar-17,20.5,g,0,,WilliaJ,13-Mar-17
AHDT7.1n,30-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,13-Mar-17,22.3,g,0,,WilliaJ,13-Mar-17
AHDT7.1o,30-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,13-Mar-17,19.1,g,0,,WilliaJ,13-Mar-17
AHDT5.1a,22-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,15-Mar-17,28.6,g,0,,WilliaJ,15-Mar-17
AHDT5.1b,22-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,15-Mar-17,22.1,g,0,,WilliaJ,15-Mar-17
AHDT5.1c,22-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,15-Mar-17,25.4,g,0,,WilliaJ,15-Mar-17
AHDT5.1d,22-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,15-Mar-17,27.9,g,0,,WilliaJ,15-Mar-17
AHDT5.1f,22-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,15-Mar-17,27.8,g,0,,WilliaJ,15-Mar-17
AHDT5.1h,22-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,15-Mar-17,22.8,g,0,,WilliaJ,15-Mar-17
AHDT5.1i,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/+ Min:-ve,15-Mar-17,23.3,g,0,,WilliaJ,15-Mar-17
AHDT5.1m,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,15-Mar-17,22,g,0,,WilliaJ,15-Mar-17
AHDT5.1n,22-Nov-16,Black,2R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,15-Mar-17,20.8,g,0,,WilliaJ,15-Mar-17
AHDT7.1a,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,15-Mar-17,27,g,0,,WilliaJ,15-Mar-17
AHDT7.1b,30-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,26.9,g,0,,WilliaJ,15-Mar-17
AHDT7.1c,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/Btnl1-B12 Min:+ve,15-Mar-17,27.2,g,0,,WilliaJ,15-Mar-17
AHDT7.1d,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,28.3,g,0,,WilliaJ,15-Mar-17
AHDT7.1e,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,27.1,g,0,,WilliaJ,15-Mar-17
AHDT7.1f,30-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,28.7,g,0,,WilliaJ,15-Mar-17
AHDT7.1g,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,15-Mar-17,27.7,g,0,,WilliaJ,15-Mar-17
AHDT7.1h,30-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,15-Mar-17,26.6,g,0,,WilliaJ,15-Mar-17
AHDT7.1i,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,28,g,0,,WilliaJ,15-Mar-17
AHDT7.1j,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,26.4,g,0,,WilliaJ,15-Mar-17
AHDT7.1k,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,30.4,g,0,,WilliaJ,15-Mar-17
AHDT7.1m,30-Nov-16,Black,1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,15-Mar-17,20.5,g,0,,WilliaJ,15-Mar-17
AHDT7.1n,30-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,15-Mar-17,22.1,g,0,,WilliaJ,15-Mar-17
AHDT7.1o,30-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,15-Mar-17,19.6,g,0,,WilliaJ,15-Mar-17
AHDT5.1c,22-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,17-Mar-17,24.6,g,0,,WilliaJ,17-Mar-17
AHDT5.1d,22-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,17-Mar-17,27.7,g,0,,WilliaJ,17-Mar-17
AHDT5.1f,22-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,17-Mar-17,27.5,g,0,,WilliaJ,17-Mar-17
AHDT5.1h,22-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,17-Mar-17,22.4,g,0,,WilliaJ,17-Mar-17
AHDT5.1i,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/+ Min:-ve,17-Mar-17,23.6,g,0,,WilliaJ,17-Mar-17
AHDT5.1m,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,17-Mar-17,21.9,g,0,,WilliaJ,17-Mar-17
AHDT5.1n,22-Nov-16,Black,2R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,17-Mar-17,21.1,g,0,,WilliaJ,17-Mar-17
AHDT7.1a,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,17-Mar-17,27.4,g,0,,WilliaJ,17-Mar-17
AHDT7.1b,30-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,27.7,g,0,,WilliaJ,17-Mar-17
AHDT7.1c,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/Btnl1-B12 Min:+ve,17-Mar-17,27.5,g,0,,WilliaJ,17-Mar-17
AHDT7.1d,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,27.7,g,0,,WilliaJ,17-Mar-17
AHDT7.1e,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,27.6,g,0,,WilliaJ,17-Mar-17
AHDT7.1f,30-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,28.6,g,0,,WilliaJ,17-Mar-17
AHDT7.1g,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,17-Mar-17,28.1,g,0,,WilliaJ,17-Mar-17
AHDT7.1h,30-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,17-Mar-17,27.3,g,0,,WilliaJ,17-Mar-17
AHDT7.1i,30-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,28.4,g,0,,WilliaJ,17-Mar-17
AHDT7.1j,30-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,27.7,g,0,,WilliaJ,17-Mar-17
AHDT7.1k,30-Nov-16,Black,2L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,30.9,g,0,,WilliaJ,17-Mar-17
AHDT7.1m,30-Nov-16,Black,1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,17-Mar-17,20.3,g,0,,WilliaJ,17-Mar-17
AHDT7.1n,30-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:-ve,17-Mar-17,22.5,g,0,,WilliaJ,17-Mar-17
AHDT7.1o,30-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,17-Mar-17,18.9,g,0,,WilliaJ,17-Mar-17
AHDT5.1c,22-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,20-Mar-17,25.3,g,0,,WilliaJ,20-Mar-17
AHDT5.1d,22-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,20-Mar-17,28.5,g,0,,WilliaJ,20-Mar-17
AHDT5.1f,22-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,20-Mar-17,27.9,g,0,,WilliaJ,20-Mar-17
AHDT5.1h,22-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,20-Mar-17,22.2,g,0,,WilliaJ,20-Mar-17
AHDT5.1i,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/+ Min:-ve,20-Mar-17,22.2,g,0,,WilliaJ,20-Mar-17
AHDT5.1m,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,20-Mar-17,22,g,0,,WilliaJ,20-Mar-17
AHDT5.1n,22-Nov-16,Black,2R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,20-Mar-17,20.8,g,0,,WilliaJ,20-Mar-17
AHDT7.1a,30-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","540059 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 2",Btnl1-B12/+ Min:+ve,20-Mar-17,27.9,g,0,,WilliaJ,20-Mar-17
